id,title,genres,keywords,combined
314371.0,11 Minutes,Drama Thriller,,Drama Thriller 
223346.0,Bounce: Behind The Velvet Rope,,, 
278706.0,Chrysalis,Drama Horror Science Fiction,terror hope post-apocalyptic suspense gore zombie zombie apocalypse,Drama Horror Science Fiction terror hope post-apocalyptic suspense gore zombie zombie apocalypse
230170.0,Sarah Silverman: We Are Miracles,Comedy,stand-up comedy,Comedy stand-up comedy
102292.0,A Bottle in the Gaza Sea,Drama,,Drama 
6973.0,In the Valley of Elah,History Drama Thriller Crime Mystery,father son relationship detective war crimes patriotism homicide investigation iraq military service police cover-up disappearance murder investigation,History Drama Thriller Crime Mystery father son relationship detective war crimes patriotism homicide investigation iraq military service police cover-up disappearance murder investigation
132928.0,No Time for Comedy,Comedy Romance,,Comedy Romance 
898.0,Birdman of Alcatraz,Drama,usa prison rebel prisoner difficult childhood bird alcatraz ornithology biography solitary confinement warden,Drama usa prison rebel prisoner difficult childhood bird alcatraz ornithology biography solitary confinement warden
194537.0,A Story of Children and Film,Documentary,,Documentary 
10293.0,Pauline at the Beach,Romance Comedy Drama,holiday sea beach flirt love of one's life girlfriend divorce marriage problems,Romance Comedy Drama holiday sea beach flirt love of one's life girlfriend divorce marriage problems
146416.0,A Long and Happy Life,Romance Drama,,Romance Drama 
34512.0,George Carlin: What Am I Doing in New Jersey?,Comedy Documentary TV Movie,comedian satire stand-up comedy cult comedy live comedy adult humor tv special stage performance,Comedy Documentary TV Movie comedian satire stand-up comedy cult comedy live comedy adult humor tv special stage performance
45615.0,Reindeerspotting - Escape From Santaland,Documentary Foreign,drug abuse drug addiction,Documentary Foreign drug abuse drug addiction
99251.0,Spin,Drama Comedy Romance,,Drama Comedy Romance 
324300.0,Rolling Papers,Documentary,,Documentary 
2587.0,"Brother Sun, Sister Moon",War Drama History,religion,War Drama History religion
365183.0,Killing Them Safely,Documentary,,Documentary 
149320.0,King: A Filmed Record... Montgomery to Memphis,Documentary,civil war alabama racism segregation,Documentary civil war alabama racism segregation
17952.0,In The Mix,Action Comedy Drama Romance,,Action Comedy Drama Romance 
9065.0,Europa,Thriller Drama,train station in love with enemy world war ii hypnosis postwar period allied employee travel,Thriller Drama train station in love with enemy world war ii hypnosis postwar period allied employee travel
425716.0,Small Town Killers,Comedy Crime Drama,hitman dark comedy,Comedy Crime Drama hitman dark comedy
32149.0,Once Upon a Time,Adventure Action Comedy Foreign,,Adventure Action Comedy Foreign 
224282.0,Torn,Drama,,Drama 
58551.0,Tokyo Girl,,, 
32040.0,The Killing of a Chinese Bookie,Thriller Crime Drama,strip club mobster,Thriller Crime Drama strip club mobster
9964.0,Bad Taste,Action Comedy Horror Science Fiction,new zealand collector gore cult favorite chainsaw shot in the stomach kicked in the crotch head ripped off fast food knife through the neck axe murder arm blown off directorial debut testosterone split head,Action Comedy Horror Science Fiction new zealand collector gore cult favorite chainsaw shot in the stomach kicked in the crotch head ripped off fast food knife through the neck axe murder arm blown off directorial debut testosterone split head
265760.0,Death of a Salesman,Drama TV Movie,salesman live performance,Drama TV Movie salesman live performance
49152.0,La rabbia,,, 
4049.0,The Glass Cell,Drama Crime,release from prison,Drama Crime release from prison
122320.0,Winston Churchill: Walking with Destiny,Documentary,,Documentary 
34098.0,Ticks,Horror Science Fiction,animal horror,Horror Science Fiction animal horror
4034.0,That Man from Rio,Action Adventure Comedy,spy brazil kidnapping treasure hunt artifact farce ancient,Action Adventure Comedy spy brazil kidnapping treasure hunt artifact farce ancient
9877.0,Urban Legend,Horror Thriller,college murder urban legend slasher killer death,Horror Thriller college murder urban legend slasher killer death
31151.0,Elvis That's the Way It Is,Music Documentary,concert elvis presley back stage,Music Documentary concert elvis presley back stage
59719.0,Lupin the Third: Sweet Lost Night,Action Animation Comedy TV Movie,amnesia lamp aladdin,Action Animation Comedy TV Movie amnesia lamp aladdin
92983.0,Businessmen,Comedy Drama Adventure,,Comedy Drama Adventure 
31337.0,Contact High,Comedy,car race joint hallucinogen le mans marijuana drug,Comedy car race joint hallucinogen le mans marijuana drug
26810.0,A Common Thread,Drama,woman director,Drama woman director
39243.0,Off Beat,Comedy,,Comedy 
9313.0,The Man in the Iron Mask,Action Adventure Drama,france swordplay mask musketeer,Action Adventure Drama france swordplay mask musketeer
61662.0,In girum imus nocte et consumimur igni,Documentary,,Documentary 
76076.0,The Time of Your Life,Comedy Drama,gambling saloon jellybean,Comedy Drama gambling saloon jellybean
60387.0,Operation Mad Ball,Comedy War,shower prisoners of war black market flashlight jeep milk beautiful woman balloon based on play or musical cigar smoking,Comedy War shower prisoners of war black market flashlight jeep milk beautiful woman balloon based on play or musical cigar smoking
132601.0,The Reef 2: High Tide,Animation Family,musical,Animation Family musical
413785.0,George Best: All By Himself,Documentary,,Documentary 
18224.0,Bionicle 3: Web of Shadows,Action Adventure Animation Family Fantasy,return hero enemy,Action Adventure Animation Family Fantasy return hero enemy
69162.0,I Know What I Saw,Documentary Science Fiction,,Documentary Science Fiction 
274131.0,Forbidden,,, 
158445.0,Miracle in Cell No. 7,Drama Comedy,prison cell father daughter relationship,Drama Comedy prison cell father daughter relationship
223566.0,Ghadi,Comedy Drama Family,lebanon,Comedy Drama Family lebanon
70570.0,Neshoba,Documentary,,Documentary 
143983.0,"Me, a Groupie",Music Drama,erotic movie,Music Drama erotic movie
9688.0,Melinda and Melinda,Comedy Drama Romance,married couple friends falling in love celebration,Comedy Drama Romance married couple friends falling in love celebration
89292.0,Hard Promises,Comedy Romance,,Comedy Romance 
29987.0,Facing Windows,Drama Romance,love memory old man holocaust survivor compassion photographic memory,Drama Romance love memory old man holocaust survivor compassion photographic memory
133373.0,Identification Marks: None,Drama,,Drama 
61528.0,Born Equal,Drama TV Movie,jealousy knife love,Drama TV Movie jealousy knife love
52505.0,The Other Woman,Drama,based on novel romantic rivalry candlelight vigil,Drama based on novel romantic rivalry candlelight vigil
148777.0,In Vogue: The Editor's Eye,Documentary,fashion fashion magazine,Documentary fashion fashion magazine
65713.0,Seven Old Men and One Girl,Comedy,,Comedy 
25716.0,Crows Zero II,Action Comedy Thriller,rivalry boys' school,Action Comedy Thriller rivalry boys' school
252596.0,German Angst,Mystery Action Horror Fantasy,,Mystery Action Horror Fantasy 
64278.0,Interceptor Force 2,Action Science Fiction,,Action Science Fiction 
89606.0,Hemo The Magnificent,Animation Family,,Animation Family 
56947.0,La crise,Drama Comedy,woman director dramedy,Drama Comedy woman director dramedy
8748.0,Eagle vs Shark,Comedy Romance,father son relationship loss of brother new zealand trauma fast food restaurant eagle childhood trauma junk food revenge falling in love relationship shark apple,Comedy Romance father son relationship loss of brother new zealand trauma fast food restaurant eagle childhood trauma junk food revenge falling in love relationship shark apple
39544.0,Oblivion Island: Haruka and the Magic Mirror,Adventure Animation,magic fireworks childhood memory alone baron infiltration japanese woman phonograph junk forgotten storybook toy airplane keepsake propeller airplane anime,Adventure Animation magic fireworks childhood memory alone baron infiltration japanese woman phonograph junk forgotten storybook toy airplane keepsake propeller airplane anime
68849.0,The Man Who Could Work Miracles,Fantasy Comedy,san francisco miracle,Fantasy Comedy san francisco miracle
211125.0,Strawberry Summer,TV Movie Drama,,TV Movie Drama 
20128.0,Life Is a Miracle,Romance Drama Comedy,,Romance Drama Comedy 
12207.0,The Legend of Drunken Master,Action Comedy,father son relationship martial arts showdown fistfight friendship duel,Action Comedy father son relationship martial arts showdown fistfight friendship duel
9700.0,The Lost City,Drama Romance,cuba fidel castro che guevara,Drama Romance cuba fidel castro che guevara
96888.0,Policeman,Drama,israeli palestinian conflict,Drama israeli palestinian conflict
228970.0,Wild,Drama,adventure biography hiking based on true story traveller,Drama adventure biography hiking based on true story traveller
225747.0,Vendetta,Action Thriller,,Action Thriller 
25914.0,The Fastest Gun Alive,Drama Western,gunslinger bank gun bank robber western storekeeper,Drama Western gunslinger bank gun bank robber western storekeeper
183932.0,Mare Nostrum,War,spy world war i mediterranean sea,War spy world war i mediterranean sea
16447.0,Woman Is the Future of Man,Drama Romance,man-woman relation,Drama Romance man-woman relation
13914.0,Heavyweights,Comedy,,Comedy 
45514.0,8,,woman director, woman director
107812.0,Lovers and Liars,Comedy Foreign,,Comedy Foreign 
157115.0,Jug Face,Horror Thriller Drama,mumblegore,Horror Thriller Drama mumblegore
274820.0,4 Minute Mile,Drama,male nudity brother brother relationship single parent running guitar bar river gun boat ambulance overdose baseball bat hope beer training birthday party police high school basketball swimming pool crab death of father shot in the back blood cigarette smoking crying train drug addict death race break in dock face slap black eye tire limp collapse track star stopwatch running in water former coach,Drama male nudity brother brother relationship single parent running guitar bar river gun boat ambulance overdose baseball bat hope beer training birthday party police high school basketball swimming pool crab death of father shot in the back blood cigarette smoking crying train drug addict death race break in dock face slap black eye tire limp collapse track star stopwatch running in water former coach
30421.0,A Chinese Ghost Story,Fantasy Action,horror rescue elope monsters of the wild hell storming spirit,Fantasy Action horror rescue elope monsters of the wild hell storming spirit
4494.0,Rapture,Drama Horror,,Drama Horror 
24664.0,Bamboozled,Comedy Drama,,Comedy Drama 
8372.0,Lonesome Cowboys,Western,jealousy male friendship wilderness,Western jealousy male friendship wilderness
50977.0,Nude on the Moon,Comedy Fantasy Science Fiction,female nudity moon nudity exploitation nudism sexploitation independent film outer space woman director nudie,Comedy Fantasy Science Fiction female nudity moon nudity exploitation nudism sexploitation independent film outer space woman director nudie
43947.0,I Spit on Your Grave,Thriller Crime Horror,rape fondling revenge writer strangulation female writer garden shears rape and revenge,Thriller Crime Horror rape fondling revenge writer strangulation female writer garden shears rape and revenge
254277.0,Pixadores,Documentary,,Documentary 
141015.0,Combustion,Action,,Action 
19884.0,The Sword of Doom,Action Drama,swordplay samurai independent film,Action Drama swordplay samurai independent film
69557.0,The Pumpkin Eater,Drama,marriage,Drama marriage
46373.0,Bade Miyan Chote Miyan,Foreign,,Foreign 
10939.0,The Return of the Tall Blond Man with One Black Shoe,Comedy,mistake in person secret agent violin,Comedy mistake in person secret agent violin
2662.0,House of 1000 Corpses,Horror,upper class halloween psychopath urban legend youth satanic ritual,Horror upper class halloween psychopath urban legend youth satanic ritual
37715.0,Love for Sale,Comedy Drama Romance,independent film,Comedy Drama Romance independent film
33534.0,Nikitich and The Dragon,Adventure Animation Comedy Drama Fantasy,new love adventure fairy-tale figure dragon,Adventure Animation Comedy Drama Fantasy new love adventure fairy-tale figure dragon
162505.0,One Way or Another,Documentary Drama,woman director,Documentary Drama woman director
33172.0,Watchers,Action Horror Science Fiction Thriller,,Action Horror Science Fiction Thriller 
403173.0,Pete Johansson: You Might Also Enjoy Pete Johansson,,, 
128237.0,Viola,Drama,lesbian relationship,Drama lesbian relationship
146270.0,Vaastav: The Reality,,, 
19273.0,Dr. Dolittle: Million Dollar Mutts,Comedy Family Fantasy,,Comedy Family Fantasy 
231145.0,Tom Papa: Freaked Out,Comedy,,Comedy 
42770.0,Devil's Island,Drama Foreign Comedy,,Drama Foreign Comedy 
1967.0,Ask the Dust,Drama Romance,italy mexico alcohol sex beach nudity passion cigarette letter kiss police love racism los angeles,Drama Romance italy mexico alcohol sex beach nudity passion cigarette letter kiss police love racism los angeles
86381.0,Tell Them Anything You Want: A Portrait of Maurice Sendak,Documentary,,Documentary 
119193.0,What the Day Owes the Night,Drama History Romance,,Drama History Romance 
407048.0,Scott Hall: Living on a Razor's Edge,Documentary,scott hall,Documentary scott hall
17657.0,Ice Station Zebra,Action Drama,submarine cold war suspense,Action Drama submarine cold war suspense
30117.0,Warlords of Atlantis,Adventure Fantasy Science Fiction,monster gold queen atlantis octopus engineer alien martian escape king scientist underwater sea monster archaeologist lost civilization giant octopus,Adventure Fantasy Science Fiction monster gold queen atlantis octopus engineer alien martian escape king scientist underwater sea monster archaeologist lost civilization giant octopus
82481.0,The Bachelor,Comedy,mother bachelor marriage salesman courtship hostess,Comedy mother bachelor marriage salesman courtship hostess
67952.0,Kathleen Madigan: Gone Madigan,Comedy,,Comedy 
27936.0,Micmacs,Action Comedy Crime,unemployment contortionist human cannonball,Action Comedy Crime unemployment contortionist human cannonball
197057.0,А поутру они проснулись,Drama Comedy,multiple character surrealism hangover vodka,Drama Comedy multiple character surrealism hangover vodka
46525.0,Back from Eternity,Adventure Drama,love triangle stranded survival escape jungle airplane crash,Adventure Drama love triangle stranded survival escape jungle airplane crash
53101.0,Manborg,Horror Science Fiction,cyborg dystopic future,Horror Science Fiction cyborg dystopic future
27544.0,The Company She Keeps,Drama,con man,Drama con man
35010.0,A Man Who Was Superman,Comedy Drama,,Comedy Drama 
44585.0,Attack of the Puppet People,Horror Science Fiction,factory shrinking b movie miniaturization police detective dollmaker,Horror Science Fiction factory shrinking b movie miniaturization police detective dollmaker
120386.0,The Stud,Romance Drama,disco club,Romance Drama disco club
413687.0,Harmonia,,, 
26843.0,Lion of the Desert,Action History War,italy middle east resistance world war ii libya benito mussolini based on true story guerrilla warfare,Action History War italy middle east resistance world war ii libya benito mussolini based on true story guerrilla warfare
385933.0,Room Full of Spoons,Documentary,film making cult favorite worst movie ever,Documentary film making cult favorite worst movie ever
23949.0,Tape,Drama,shyness alcohol sex jealousy michigan secret obsession fight blackmail virgin motel high school love friends money marijuana violence drug criminal denial apology rudeness,Drama shyness alcohol sex jealousy michigan secret obsession fight blackmail virgin motel high school love friends money marijuana violence drug criminal denial apology rudeness
362202.0,The Crash,Crime Thriller,criminal white collar criminal cybercrime,Crime Thriller criminal white collar criminal cybercrime
18558.0,Scenes of a Sexual Nature,Comedy Drama Romance,gay interest london,Comedy Drama Romance gay interest london
45602.0,Disappearing Acts,TV Movie Romance Drama,woman director,TV Movie Romance Drama woman director
129974.0,Buckskin Frontier,Western,daughter kansas railroad freight freight company,Western daughter kansas railroad freight freight company
95775.0,Clip,Drama,alcohol sex serbia controversial drinking cell phone woman director partying,Drama alcohol sex serbia controversial drinking cell phone woman director partying
